,COD_COL,NOM_COL,DIR_COL,TEL_COL,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_MUNICIPIO,NOMBRE_MUNICIPIO,ZONA,LATITUD,LONGITUD,COD_INST,NOM_INST,SECTOR,EMAIL,WEB_INST,FAX_COL
91,405088000030.0,COL DIDASCALIO HNA JOSEFINA SERRANO,KM 7 VIA GUARNE,5289608,5.0,ANTIOQUIA,,BELLO,Rural,6.3068678,-75.5298965,405088000030.0,CENTRO EDUCATIVO DIDASCALIO HNA JOSEFINA SERRANO,NO OFICIAL,,,1.0
92,405088020693.0,CENTRO EDUCATIVO LAS COMETAS DE BELLO,KM 3 ANTIGUA VIA GUARNE/ PINAR (VDA,5281340,5.0,ANTIOQUIA,,BELLO,Rural,6.30253676790744,-75.5362411122769,405088020693.0,CENTRO DE EDUCATIVO INTEGRAL LAS COMETAS SEDDE PINAR,NO OFICIAL,,,1.0
5617,105088001857.0,ESC LOS SAUCES,CLL 20 FF # 81 A 146,4617078,5.0,ANTIOQUIA,,BELLO,Urbano,6.314823258,-75.58732888,105088002993.0,ESCUELA LOS SAUCES,OFICIAL,NO,,2.0
5618,105088001873.0,LIC CARLOS PEREZ MEJIA,CR 58 A # 52C - 135,4519111,5.0,ANTIOQUIA,,BELLO,Urbano,6.337607859,-75.56498062,105088001873.0,INSTITUCIÓN EDUCATIVA CARLOS PEREZ MEJIA,OFICIAL,NO,,1.0
5619,105088001911.0,LIC  DE BELLO,DG 65 # 45 BB 215,4818920,5.0,ANTIOQUIA,,BELLO,Urbano,6.3457984846,-75.55315954,105088001911.0,LICEO DE BELLO,OFICIAL,LICEODELBELLO@EPM.NET.CO,,1.0
5620,105088001938.0,ESC URB AVENIDAS,CR 56 # 32-08,2720827,5.0,ANTIOQUIA,,BELLO,Urbano,6.3203785713,-75.56132917,305088002950.0,SEDE AVENIDAS,OFICIAL,,,1.0
5621,105088002641.0,COL NAVARRA,DG 57 # 20-46,4822456,5.0,ANTIOQUIA,,BELLO,Urbano,6.3466667298,-75.53157947,105088002641.0,INSTITUCIÓN EDUCATIVA NAVARRA,OFICIAL,insnavarra@latinmail.com,,1.0
5622,105088002691.0,COL ATANASIO GIRARDOT,CLL 24 A # 59 A 114,2735657,5.0,ANTIOQUIA,,BELLO,Urbano,6.3140670138,-75.56994216,105088002691.0,LICEO ATANASIO GIRARDOT,OFICIAL,LAG@EPM.NET.COM,,1.0
5623,105088002705.0,ESCUELA VILLA DEL SOL,CLL 72 A # 63 A 50,4517228,5.0,ANTIOQUIA,,BELLO,Urbano,6.35159489,-75.56701852,105088002705.0,INSTITUCIÓN EDUCATIVA VILLA DEL SOL,OFICIAL,,,1.0
5624,105088002713.0,COL  ANTONIO ROLDAN BETANCUR,DG 65 # 45 BB 215,4811653,5.0,ANTIOQUIA,,BELLO,Urbano,6.3457984846,-75.55315954,105088001911.0,LICEO ANTONIO ROLDAN BETANCUR,OFICIAL,,,1.0
5625,105088002802.0,ESC NICOLAS SIERRA SIERRA,CR 73 B # 25 B 19,2733295,5.0,ANTIOQUIA,,BELLO,Urbano,6.314607083,-75.5787347,105088000338.0,ESCUELA NICOLAS SIERRA,OFICIAL,,,1.0
5626,105088002829.0,COL TOMAS CADAVID RESTREPO,CR 55 # 38-170,2751291,5.0,ANTIOQUIA,,BELLO,Urbano,6.3250347647,-75.56068639,105088002829.0,INSTITUCIÓN EDUCATIVA TOMAS CADAVID RESTREPO,OFICIAL,,,1.0
5627,105088002896.0,LIC MPAL CONCEJO DE BELLO,DG 56 # 45-42,4814134,5.0,ANTIOQUIA,,BELLO,Urbano,6.3407198476,-75.55334515,105088002896.0,LICEO MUNICIPAL CONCEJO DE BELLO,OFICIAL,,,1.0
5628,105088002918.0,I.E  FONTIDUEÐO JAIME ARANGO ROJAS,DG 44 # 32-84,4819623,5.0,ANTIOQUIA,,BELLO,Urbano,6.3340550634,-75.53742734,105088002918.0,INSTITUCIÓN EDUCATIVA FONTIDUEÑO JAIME ARANGO ROJAS,OFICIAL,,,1.0
5629,105088002985.0,ESC QUITASOL,AV 34 # 64-59,4822313,5.0,ANTIOQUIA,,BELLO,Urbano,6.346781547,-75.54312246,105088001911.0,ESCUELA QUITASOL,OFICIAL,,,1.0
5630,105088002993.0,LIC PARIS ALBERTO DIAZ MUÐOZ,CLL 20 F # 78 A 07,4612527,5.0,ANTIOQUIA,,BELLO,Urbano,6.313163294,-75.58369045,105088002993.0,LICEO ALBERTO DIAZ MUÑOZ,OFICIAL,,,1.0
5631,105088003175.0,I.E DE TRABAJO SAN JOSE,DIAG 44 # 31-70 BELLO FONTIDUEðO,4810808,5.0,ANTIOQUIA,,BELLO,Urbano,6.3350270406,-75.53682575,105088003175.0,INSTITUCIÓN EDUCATIVA DE TRABAJO SAN JOSE,OFICIAL,etsj epm.net.co,,1.0
7005,105088000036.0,ESC URB JUAN XXIII,CR 63 A # 56 A 006,2750253,5.0,ANTIOQUIA,,BELLO,Urbano,6.3406723194,-75.5683397,105088001873.0,ESCUELA JUAN XXIII,OFICIAL,,,1.0
7006,105088000061.0,ESC URB GUILLERMO BARRIENTOS VALENCIA,KR 43 B # 20 E 40,4613941,5.0,ANTIOQUIA,,BELLO,Urbano,6.30868857,-75.55288339,105088001750.0,ESCUELA URBANA GUILLERMO BARRIENTOS,OFICIAL,,,1.0
7007,105088000079.0,ESC URB PBRO ROGELIO ARANGO,DG 56 # 46-16,4814243,5.0,ANTIOQUIA,,BELLO,Urbano,6.3411070446,-75.55474906,105088001806.0,PBRO ROGELIO ARANGO CALLE,OFICIAL,,,1.0
7008,105088000117.0,ESC URB DE NIÐAS,CLL 69 # 60-160,2756170,5.0,ANTIOQUIA,,BELLO,Urbano,6.3491103906,-75.56416962,105088001555.0,ESCUELA URBANA DE NIÑAS,OFICIAL,,,1.0
7009,105088000141.0,ESC URB ROSALIA SUAREZ,CLL 53 A # 57 A 34,2751457,5.0,ANTIOQUIA,,BELLO,Urbano,6.3389890823,-75.56511975,105088001873.0,ESCUELA ROSALIA SUAREZ,OFICIAL,,,1.0
7010,105088000176.0,ESC URB ANA  MACHADO,AV 31 M# 43 A 20,4810806,5.0,ANTIOQUIA,,BELLO,Urbano,6.33369071,-75.53582043,105088002918.0,INSTITUCIÓN EDUCATIVA FONTIDUEÑO JAIME ARANGO ROJAS SECCION PRIMARIA FONTIDUEÑO,OFICIAL,NO,,1.0
7011,105088000273.0,INSTITUCION EDUCATIVA FERNANDO VELEZ,CRA 58 # 52 C 135,4515499,5.0,ANTIOQUIA,,BELLO,Urbano,6.337347481,-75.56773368,105088000273.0,INSTITUCIÓN EDUCATIVA FERNANDO VELEZ,OFICIAL,NO,,1.0
7012,105088000290.0,COL DIVINA EUCARISTIA,CR 53 # 51-28,2758198,5.0,ANTIOQUIA,,BELLO,Urbano,6.3352064016,-75.56083091,105088000290.0,INSTITUCIÓN EDUCATIVA DIVINA EUCARISTIA,OFICIAL,NO,,1.0
7013,105088000338.0,INSTITUCION EDUCATIVA BARRIO PARIS,CR 76 # 20 F 59,2737622,5.0,ANTIOQUIA,,BELLO,Urbano,6.3136530404,-75.58167594,105088000338.0,COLEGIO BRR PARIS,OFICIAL,,,1.0
7014,105088000362.0,I.E CINCUENTENARIO DE FABRICATO,CR 56 A # 60-61,2758516,5.0,ANTIOQUIA,,BELLO,Urbano,6.342014844,-75.563126,105088000362.0,INSTITUCIÓN EDUCATIVA CINCUENTENARIO DE FABRICATO,OFICIAL,,,1.0
7015,105088000397.0,ESC URB FONTIDUEÐO,AV 31 # 43-105,4818973,5.0,ANTIOQUIA,,BELLO,Urbano,6.3338518521,-75.53648725,105088002918.0,INSTITUCIÓN EDUCATIVA FONTIDUEÑO JAIME ARANGO ROJAS SECCION PRIMARIA MACHADO,OFICIAL,,,1.0
7016,105088000419.0,INSTITUCION EDUCATIVA LA GABRIELA,CLL 31 # 43-94,4610691,5.0,ANTIOQUIA,,BELLO,Urbano,6.3192455715,-75.5501658,105088000419.0,INSTITUCIÓN EDUCATIVA LA GABRIELA,OFICIAL,,,1.0
7017,105088000427.0,COL SGDO CORAZON,CLL 47 # 48-38,2750733,5.0,ANTIOQUIA,,BELLO,Urbano,6.3334118217,-75.55681613,105088000427.0,INSTITUCIÓN EDUCATIVA SAGRADO CORAZON,OFICIAL,,,1.0
7018,105088000460.0,ESC SAN JOSE OBRERO,KR 55 # 38-170,2751291,5.0,ANTIOQUIA,,BELLO,Urbano,6.3250347647,-75.56068639,105088002829.0,ESCUELA URBANA DE NIÑAS SAN JOSE OBRERO,OFICIAL,,,1.0
7019,105088000486.0,ESC URB PLAYA RICA,KR 63 #  61-90,2729014,5.0,ANTIOQUIA,,BELLO,Urbano,6.3440522495,-75.56726344,105088000486.0,INSTITUCIÓN EDUCATIVA PLAYA RICA,OFICIAL,,,1.0
7020,105088000532.0,ESC  LA MILAGROSA,CL 62 A # 54-51,2751458,5.0,ANTIOQUIA,,BELLO,Urbano,6.3423911714,-75.5609299,105088000532.0,INSTITUCIÓN EDUCATIVA LA MILAGROSA,OFICIAL,,,1.0
7021,105088000559.0,ESC CANDIDO LEGUIZAMO,CR 63 B # 72-52,2757307,5.0,ANTIOQUIA,,BELLO,Urbano,6.351006514,-75.56704536,105088002705.0,ESCUELA CANDIDO LEGUIZAMO,OFICIAL,,,1.0
7022,105088000877.0,I.E MARCO FIDEL SUAREZ,CLL 53 # 51-17,2758995,5.0,ANTIOQUIA,,BELLO,Urbano,6.3365700013,-75.55990138,105088000877.0,INSTITUCIÓN EDUCATIVA MARCO FIDEL SUAREZ,OFICIAL,1mfs&epm.net.co,,1.0
7023,105088001288.0,ESC URB  LA PRADERA,CLL 20 D # 75-02,4616457,5.0,ANTIOQUIA,,BELLO,Urbano,6.311342302,-75.58134753,105088002993.0,ESCUELA LA PRADERA,OFICIAL,,,1.0
7025,105088001415.0,I.E FE Y ALEGRIA  ABRAHAM REYES (A # 1),AV 47 # 65-62,4821412,5.0,ANTIOQUIA,,BELLO,Urbano,6.3468276488,-75.55418578,105088001415.0,INSTITUCIÓN EDUCATIVA ABRAHAM REYES,OFICIAL,NO,,1.0
7026,105088001431.0,ESC URB LA CAMILA,DG 42 EB # 36A-89,4810976,5.0,ANTIOQUIA,,BELLO,Urbano,6.3289223771,-75.54081946,105088002527.0,ESCUELA URBANA LA CAMILA,OFICIAL,,,1.0
7028,105088001521.0,I.E FE Y ALEGRIA ZAMORA,CR 41 F # 20 CC 50,4610298,5.0,ANTIOQUIA,,BELLO,Urbano,6.3067029449,-75.54533291,105088001521.0,INSTITUCIÓN EDUCATIVA ZAMORA,OFICIAL,,,1.0
7029,105088001539.0,COL ANDRES BELLO,CR 50 # 54-28,2750488,5.0,ANTIOQUIA,,BELLO,Urbano,6.3382157468,-75.55825554,105088001539.0,INSTITUCIÓN EDUCATIVA ANDRES BELLO,OFICIAL,,,1.0
7030,105088001679.0,COLEGIO SANTO DOMINGO DE GUZMAN,CR 45 B # 22 D 184,4616101,5.0,ANTIOQUIA,,BELLO,Urbano,6.31138395052403,-75.553467515856,105088001679.0,COLEGIO SANTO DOMINGO DE GUZMAN,OFICIAL,cosdo@epm.net.co,,1.0
7031,105088001709.0,INSTITUCION EDUCATIVA NUEVA GENERACION,AV 32 # 61-02,4815506,5.0,ANTIOQUIA,,BELLO,Urbano,6.343836018,-75.54635997,105088001709.0,COLEGIO FE Y ALEGRIA NUEVA GENERACION,OFICIAL,FANUEVAGENERACION@UOL.COM.CO,,1.0
7032,105088001725.0,CONC PREESC B PARIS,CLL 20 E # 74-31,2737106,5.0,ANTIOQUIA,,BELLO,Urbano,6.3116151601,-75.58057803,105088000338.0,CONCENTRACIÓN DE PREESCOLAR BRR PARIS,OFICIAL,,,1.0
7033,105088001733.0,ESC URB FE Y ALEGRIA # 2,AV 46 # 65-04,4812885,5.0,ANTIOQUIA,,BELLO,Urbano,6.3464327996,-75.5523709,105088001971.0,INSTITUCIÓN EDUCATIVA JOSEFA CAMPOS # 2,OFICIAL,NO,,1.0
7034,105088001750.0,INSTITUCION EDUCATIVA FEDERICO SIERRA ARANGO,CLL 22 D # 43 C 35,4615761,5.0,ANTIOQUIA,,BELLO,Urbano,6.3099932062,-75.55278442,105088001750.0,COLEGIO FEDERICO SIERRA ARANGO,OFICIAL,,,1.0
11364,205088000120.0,INSTITUCION EDUCATIVA SAN GABRIEL ARCANGEL,AV 12 # 53-11 CAS GUASIMALITO,2744528,5.0,ANTIOQUIA,,BELLO,Urbano,6.34695555,-75.5251119,205088000120.0,INSTITUCIÓN EDUCATIVA SAN GABRIEL ARCANGEL,OFICIAL,,,1.0
11428,205088000138.0,I.E POTRERITO,CAS POTRERITO,4520561,5.0,ANTIOQUIA,,BELLO,Rural,6.331369,-75.578653,205088000138.0,INSTITUCIÓN EDUCATIVA POTRERITO,OFICIAL,,,1.0
11429,205088000189.0,CENT EDUC RUR ANTONIO MARIA BEDOYA,VDA TIERRADENTRO,2756784,5.0,ANTIOQUIA,,BELLO,Rural,6.335442,-75.561454,205088000189.0,CENTRO EDUCATIVO ANTONIO MARIA BEDOYA,OFICIAL,,,1.0
11430,205088000430.0,COL RUR LA UNION,VIA MEDELLIN- SAN PEDRO DE LOS M KM,3880087,5.0,ANTIOQUIA,,BELLO,Rural,6.380371103,-75.62068879,205088000430.0,COLEGIO LA UNION,OFICIAL,,,1.0
11431,205088001487.0,COL SAN FELIX,KM 22 VIA A SAN PEDRO DE LOS MILAGR,3880275,5.0,ANTIOQUIA,,BELLO,Rural,6.340205802,-75.60832451,205088001487.0,INSTITUCIÓN EDUCATIVA SAN FELIX,OFICIAL,COLSANFELIX@EPM.NET.CO,,1.0
11432,205088003099.0,ESC RUR EL CARMELO,VDA EL CARMELO,4261298,5.0,ANTIOQUIA,,BELLO,Rural,6.339371,-75.609035,205088001487.0,INSTITUCIÓN EDUCATIVA SAN FELIX SEDE EL CARMELO,OFICIAL,,,1.0
42548,305088000019.0,CENT EDUC DE APOYO PAULINA,DG 54 # 42-107,4817320,5.0,ANTIOQUIA,,BELLO,Urbano,6.3383141593,-75.54822973,305088000019.0,INSTITUCIÓN EDUCATIVA PAULINA,NO OFICIAL,,,1.0
42549,305088000027.0,CENT EDUC  NVO FUTURO,AV 47A # 56-47,4814187,5.0,ANTIOQUIA,,BELLO,Urbano,6.3416021045,-75.55590423,305088000027.0,CENTRO EDUCATIVO NUEVO FUTURO,NO OFICIAL,,,1.0
42550,305088000035.0,ASOC SOCIAL POPULAR CEVIDA (ANTESC.E. DE FORM,AV 42 # 61 A 10,4531105,5.0,ANTIOQUIA,,BELLO,Urbano,6.3438109388,-75.54868058,305088000035.0,INSTITUCIÓN EDUCATIVA DE FORMACION PARA LA VIDA CEVIDA,NO OFICIAL,,,1.0
42551,305088000256.0,COL LA SALLE -BELLO,CLL 45 # 57-44,2752430,5.0,ANTIOQUIA,,BELLO,Urbano,6.330560387,-75.56440097,305088000256.0,COLEGIO LA SALLE,NO OFICIAL,LASALLEBELLO@EPM.NET.CO,,1.0
42552,305088000264.0,I.E SAN BUENAVENTURA,CR 49A # 65-10,4522271,5.0,ANTIOQUIA,,BELLO,Urbano,6.334167,-75.556667,305088000264.0,CENTRO EDUCATIVO SANTA MARIA DE LA ESPERANZA,NO OFICIAL,,,1.0
42553,305088000302.0,CENT EDUC ANGELITOS SOÐADORES,CL 55 # 48-22,2753840,5.0,ANTIOQUIA,,BELLO,Urbano,6.3393295315,-75.55768369,305088000302.0,CENTRO EDUCATIVO ANGELITOS SOÑADORES,NO OFICIAL,angelitos.sonadores@yahoo.es,,1.0
42554,305088000639.0,COL PARROQ NTRA SRA DE CHIQUINQUIRA,DG 61 # 42-78,4815111,5.0,ANTIOQUIA,,BELLO,Urbano,6.3435577715,-75.54949797,305088000639.0,COLEGIO PARROQUIAL NUESTRA SEÑORA DE CHIQUINQUIRA,NO OFICIAL,LACHIQUINQUIRA@EPM.NET.CO,,1.0
42555,305088000647.0,COLEGIO SAGRADO CORAZON DE MARIA,CLL 51 # 54-87 B PEREZ,2750225,5.0,ANTIOQUIA,,BELLO,Urbano,6.3347441167,-75.56183838,305088000647.0,COLEGIO SAGRADO CORAZON DE MARIA,NO OFICIAL,cscmaria@geonet.co,,1.0
42556,305088000698.0,COL CARMELITANO,CLL 57 # 62-34,2750950,5.0,ANTIOQUIA,,BELLO,Urbano,6.340774157,-75.56702286,305088000698.0,COLEGIO PARROQUIAL CARMELITANO,NO OFICIAL,,,1.0
42557,305088000868.0,COL PARROQ SAN BUENAVENTURA,CR 51 A # 23-83,4619917,5.0,ANTIOQUIA,,BELLO,Urbano,6.313286416,-75.5592689,305088000868.0,COLEGIO PARROQUIAL SAN BUENAVENTURA,NO OFICIAL,COLSANBU@ EPM.NET.CO,,1.0
42558,305088001325.0,COL BETHLEMITAS,CR 24 A # 51-52,2739355,5.0,ANTIOQUIA,,BELLO,Urbano,6.3342585,-75.5562806,305088001325.0,CENTRO EDUCATIVO BETHLEMITAS,NO OFICIAL,NO,,1.0
42559,305088001716.0,COL PARROQ SAN FCO DE ASIS,CR 58 # 27 B 21,2754005,5.0,ANTIOQUIA,,BELLO,Urbano,6.3182990792,-75.56413193,305088001716.0,COLEGIO PARROQUIAL SAN FRANSISCO DE ASIS,NO OFICIAL,,,1.0
42560,305088001961.0,IE ESPERANZA AMOR Y PAZ  (ANTES JARD INF CARI,CRA 40 # 20F48,2751343,5.0,ANTIOQUIA,,BELLO,Urbano,6.30744282156229,-75.5449825152755,305088001961.0,INSTITUCIÓN EDUCATIVA ESPERANZA AMOR Y PAZ,NO OFICIAL,,,1.0
42561,305088002178.0,CENT  EDUC EL TALLER DE LOS NIÐOS,CR 48 # 49-31,2757675,5.0,ANTIOQUIA,,BELLO,Urbano,6.3343702701,-75.55705867,305088002178.0,INSTITUCIÓN EDUCATIVA SAN ELIAS,NO OFICIAL,,,1.0
42562,305088002194.0,JARD INF PRIMOSITOS,CR 50 # 55-25,2751144,5.0,ANTIOQUIA,,BELLO,Urbano,6.3386757169,-75.55916679,305088002194.0,JARDÍN INFANTIL PRIMOSITOS,NO OFICIAL,,,1.0
42631,305088002208.0,COL DE EDUC INTEGRAL ABC,CR 46 # 53-64,2755734,5.0,ANTIOQUIA,,BELLO,Urbano,6.337951892,-75.55529886,305088002208.0,COLEGIO DE EDUCATIVO INTEGRAL ABC,NO OFICIAL,,,1.0
42632,305088002399.0,CENT EDUC PIRRINGOS,CLL 25 # 58-17,2737047,5.0,ANTIOQUIA,,BELLO,Urbano,6.3144156686,-75.56373927,305088002399.0,CENTRO EDUCATIVO PIRRINGOS,NO OFICIAL,centroeducativopirringos@hotma,,1.0
42633,305088002429.0,PREESC PELUCHIN,CLL 55 # 50-44,2723660,5.0,ANTIOQUIA,,BELLO,Urbano,6.3385621384,-75.55940889,305088002429.0,PREESCOLAR PELUCHIN,NO OFICIAL,,,1.0
42634,305088002593.0,PREESC LOS PATICOS,CR 57 # 27-12,2728012,5.0,ANTIOQUIA,,BELLO,Urbano,6.3161793237,-75.561815,305088002593.0,PREESCOLAR LOS PATICOS,NO OFICIAL,,,1.0
42635,305088002607.0,PREESC INQUIETUDES,CR 54 # 32-35,2723420,5.0,ANTIOQUIA,,BELLO,Urbano,6.3204438323,-75.56009009,305088002607.0,PREESCOLAR INQUIETUDES,NO OFICIAL,,,1.0
42636,305088002615.0,COL NAZARET,AV 38 # 55-186,4821993,5.0,ANTIOQUIA,,BELLO,Urbano,6.3417634288,-75.54564197,305088002615.0,COLEGIO NAZARET,NO OFICIAL,nazaret@epm.net.co,,1.0
42637,305088002631.0,COL PARROQ JUAN PABLO II,AV 33 # 43-035,4822616,5.0,ANTIOQUIA,,BELLO,Urbano,6.3321978191,-75.53798313,305088002631.0,COLEGIO PARROQUIAL JUAN PABLO II,NO OFICIAL,,,1.0
42638,305088002836.0,CENT INF VIVIR Y CREAR,CLL 27 B # 55-72,2721662,5.0,ANTIOQUIA,,BELLO,Urbano,6.3171851491,-75.56143876,305088002836.0,CENTRO INFANTIL VIVIR Y CREAR,NO OFICIAL,,,1.0
42639,305088002933.0,CENT EDUC INF ESCALITAS,CLL 52 # 54-64,4562414,5.0,ANTIOQUIA,,BELLO,Urbano,6.3356862128,-75.56222957,305088002933.0,CENTRO EDUCATIVO INFANTIL ESCALITAS,NO OFICIAL,,,1.0
42640,305088002941.0,CENT EDUC ARRURRU ARRURRU,CLL 53 A # 52-64,2752343,5.0,ANTIOQUIA,,BELLO,Urbano,6.3370163565,-75.56093356,305088002941.0,CENTRO EDUCATIVO ARRURRU ARRURRU,NO OFICIAL,,,1.0
42641,305088002950.0,INSTITUCION EDUCATIVA LICEO ANTIOQUEÑO,CR 57 # 37-115 APTO 190,2720109,5.0,ANTIOQUIA,,BELLO,Urbano,6.323528358,-75.56426141,305088002950.0,INSTITUCIÓN EDUCATIVA LICEO ANTIOQUEÑO SEDE PPAL,OFICIAL,NO,,1.0
42642,305088002968.0,CENT EDUC DESTELLOS DE LUZ,DG 59 # 42-118,4813687,5.0,ANTIOQUIA,,BELLO,Urbano,6.3420297968,-75.54972965,305088002968.0,CENTRO EDUCATIVO DESTELLOS DE LUZ,NO OFICIAL,,,1.0
42643,305088003034.0,CENT EDUC NANCY ALVAREZ,CLL 25 # 58 DD 152,2731008,5.0,ANTIOQUIA,,BELLO,Urbano,6.3139300201,-75.56883241,305088003034.0,CENTRO EDUCATIVO NANCY ALVAREZ,NO OFICIAL,,,1.0
42644,305088003255.0,COL EDUARDO ORTEGA ARANGO,KR 47 #. 56-08,2755675,5.0,ANTIOQUIA,,BELLO,Urbano,6.3393871398,-75.55628377,305088003255.0,COLEGIO EDUARDO ORTEGA ARANGO,NO OFICIAL,,,1.0
42645,305088020010.0,CENT EDUC SIRENITA,CLL 50 # 48-28,2750626,5.0,ANTIOQUIA,,BELLO,Urbano,6.334985324,-75.55729728,305088020010.0,CENTRO EDUCATIVO SIRENITA,NO OFICIAL,,,1.0
42646,305088020079.0,ESC NATASHA Y MICHAEL D.,KR 66 A NO 64 A 15 VILLA MARIA,4524471,5.0,ANTIOQUIA,,BELLO,Urbano,6.346589794,-75.57009575,305088020079.0,INSTITUCIÓN EDUCATIVA NATASHA Y MICHAEL D.,NO OFICIAL,granitodearena@epm.net.co,,1.0
42706,305088020176.0,COL COMFAMA,CLL 52 B # 59 B 50,4514040,5.0,ANTIOQUIA,,BELLO,Urbano,6.30698692984879,-75.5462731607258,305088020176.0,COLEGIO COMFAMA,NO OFICIAL,mtrujillo@confama.com.co,,1.0
42707,305088020184.0,CENT EDUC MICHELIN,CR 53 # 64-119,4518431,5.0,ANTIOQUIA,,BELLO,Urbano,6.3457116989,-75.56028118,305088020184.0,CENTRO EDUCATIVO MICHELIN,NO OFICIAL,ngale@epm.net.co,,1.0
42709,305088020265.0,CENT EDUC FUTURSO ARTISTAS,CLL 24 # 58-99 B. CABAðITAS,2738531,5.0,ANTIOQUIA,,BELLO,Urbano,6.3134448932,-75.5644437,305088020265.0,CENTRO EDUCATIVO FUTUROS ARTISTAS,NO OFICIAL,malmuri@telecom.com.co,,1.0
42710,305088020551.0,I E SAN JUDAS TADEO,AV 33 # 59-53 INT 101 TERRANOVA,4226743,5.0,ANTIOQUIA,,BELLO,Urbano,6.344744315,-75.54170068,305088020551.0,INSTITUCIÓN EDUCATIVA SAN JUDAS TADEO,NO OFICIAL,,,1.0
42711,305088020605.0,CENT EDUC EXITOS DEL SABER,KR 59 # 72-19,4540293,5.0,ANTIOQUIA,,BELLO,Urbano,6.3507194096,-75.56295234,305088020605.0,CENTRO EDUCATIVO EXITOS DEL SABER,NO OFICIAL,,,1.0
42712,305088020613.0,CENT EDUC MAESTRO SAMUEL JOAQUIN FLORES,AV 37D # 59-17,4832716,5.0,ANTIOQUIA,,BELLO,Urbano,6.3421419937,-75.54471086,305088020613.0,CENTRO EDUCATIVO MAESTRO SAMUEL JOAQUIN FLORES,NO OFICIAL,,,1.0
42713,305088020648.0,CENT EDUC DESCUBRIENDO MI MUNDO,CLL 27B # 58A-34,2754970,5.0,ANTIOQUIA,,BELLO,Urbano,6.3171533568,-75.5652488,305088020648.0,CENTRO EDUCATIVO DESCUBRIENDO MI MUNDO,NO OFICIAL,,,1.0
42714,305088020656.0,CENT EDUC AVANTI,DG 56 # 43-41,4817331,5.0,ANTIOQUIA,,BELLO,Urbano,6.339238551,-75.55096478,305088020656.0,CENTRO EDUCATIVO AVANTI,NO OFICIAL,,,1.0
42715,305088020664.0,CENT EDUC BANEY,CLL 23 # 55-27 BARRIO LAS CABAÐITAS,4625384,5.0,ANTIOQUIA,,BELLO,Urbano,6.312469232,-75.56099828,305088020664.0,CENTRO EDUCATIVO BANEY,NO OFICIAL,,,1.0
42716,305088020672.0,PREESC PEQUEÐOS ALFAREROS,AV 31 # 43A-04,2740431,5.0,ANTIOQUIA,,BELLO,Urbano,6.3334312283,-75.53602662,305088020672.0,PREESCOLAR PEQUEÑOS ALFAREROS,NO OFICIAL,,,1.0
42717,305088020681.0,IE SAN NICOLAS,KR 41 C # 21 E - 24,4630504,5.0,ANTIOQUIA,,BELLO,Urbano,6.3101805676,-75.5466304,305088020681.0,INSTITUCIÓN EDUCATIVA SAN NICOLAS,NO OFICIAL,,,1.0
42718,305088020702.0,PREESCOLAR SEMILLAS DE ESPERANZA,KR 57 # 53 - 12,2757074,5.0,ANTIOQUIA,,BELLO,Urbano,6.3376269441,-75.56393977,305088020702.0,PREESCOLAR SEMILLAS DE ESPERANZA,NO OFICIAL,,,1.0
42719,305088020711.0,PREESCOLAR PEQUEÐOS GIGANTES,CL 57 A # 66 B - 46,2757557,5.0,ANTIOQUIA,,BELLO,Urbano,6.32428693,-75.55776387,305088020711.0,PREESCOLAR PEQUEÑOS GIGANTES,NO OFICIAL,,,1.0
48056,105088800016.0,INSTITUCION EDUCATIVA  BETSABÉ ESPINAL,Avenida 33 N°59-53,4832827,5.0,ANTIOQUIA,,BELLO,Urbano,6.3437924043151845,-75.54188372567296,,,OFICIAL,,,1.0
