,x,y,gid,Name,type
0,-75.5601121,6.3363073,1,Biblioteca Marco Fidel Suarez,biblioteca
1,-75.5557771,6.343639,2,Biblioteca Pública Comfenalco Niquía,biblioteca
2,-75.5531009,6.3088646,3,BIBLIOTECA COMUNAL ACEVEDO-BELLO,biblioteca
3,-75.5625939,6.3293501,4,Biblioteca Santa Ana,biblioteca
4,-75.5462244,6.3478812,5,Biblioteca,biblioteca
5,-75.5559148,6.3425071,6,Biblioteca Pública Comfenalco,biblioteca
6,-75.5788075,6.3119705,7,Biblioteca Casa París,biblioteca
7,-75.5684595,6.336666,8,Biblioteca El Carmelo,biblioteca
8,-75.547226,6.302196,9,Biblioteca Popular No J2,biblioteca
9,-75.5856546,6.300658,10,Picachito artes,biblioteca
0,-75.5575477,6.334721,1,Centro Comercial Bello Centro,centro_comercial
1,-75.5425941,6.3402618,2,Centro Comercial Puerta del Norte Segunda Etapa,centro_comercial
2,-75.5452112,6.3396471,3,CC Estación Niquia,centro_comercial
3,-75.5443852,6.3397885,4,Centro Comercial Puerta del Norte,centro_comercial
4,-75.5480179,6.3243687,5,PORTAL PLAZA BELLO,centro_comercial
5,-75.5448219,6.3388735,6,ODONTONTOINSUMOS,centro_comercial
6,-75.5539311,6.3327796,7,Ecology Bello,centro_comercial
7,-75.546154,6.3376632,8,Plaza Beillin,centro_comercial
8,-75.5562746,6.3153675,9,MetroMall,centro_comercial
9,-75.5453513,6.3400741,10,CENTRO EMPRESARIAL NIQUIA,centro_comercial
0,-75.5584404,6.3349726,1,Parque Principal de Bello,parque
1,-75.5661741,6.346672,2,Parque Kojima,parque
2,-75.5596604,6.3366511,3,Parque Cultural Andres Bello,parque
3,-75.5482405,6.3349242,4,Parque Central Polideportivo Tulio Ospina.,parque
4,-75.5325568,6.3473361,5,Parquecito Del Amor,parque
5,-75.5602999,6.3396173,6,Parque de andalucía,parque
6,-75.5661514,6.348914,7,Parque Goretti,parque
7,-75.5665079,6.3415833,8,Parque Del Carmen,parque
8,-75.5563209,6.3417526,9,parque niquia los Ángeles #2,parque
9,-75.5640255,6.3393634,10,Parque Rosalpi,parque
0,-75.5482167,6.3146841,1,Asados Belvedere,restaurante
1,-75.5374832,6.3320286,2,Restaurante 24 horas,restaurante
2,-75.5621554,6.3168718,3,La Plaza Hamburguesera,restaurante
3,-75.5410776,6.3413423,4,Tradiciones Restaurante Bar,restaurante
4,-75.5597052,6.3354287,5,Restaurante Cuernavaca,restaurante
5,-75.5634389,6.3125245,6,La Mistica: Parrilla Bar,restaurante
6,-75.5434255,6.3393157,7,Sr. Wok Oriental Buffet,restaurante
7,-75.5553306,6.3338114,8,Restaurante Las Delicias Del Pacífico,restaurante
8,-75.5664185,6.3170334,9,Arepaisa,restaurante
9,-75.5603599,6.3379096,10,Restaurante Casa Vieja,restaurante
10,-75.5959618,6.3241368,11,Waira Restaurante,restaurante
11,-75.6140119,6.2884335,12,Restaurante La Variante,restaurante
12,-75.5584713,6.3333099,13,Rancho Grande,restaurante
13,-75.5670714,6.3013964,14,Restaurante Betel,restaurante
14,-75.5131688,6.3459705,15,Kahuana Restaurante,restaurante
15,-75.5653991,6.3168064,16,Restaurante On Fire Grill & Beer | Burger | Hamburguesa | Restaurante de hamburguesas,restaurante
16,-75.5635585,6.3179401,17,Restaurante Beatriz,restaurante
17,-75.5639881,6.3156126,18,Restaurante La Patagonia,restaurante
18,-75.5709077,6.2947634,19,Restaurante Señor Arroz,restaurante
19,-75.5743839,6.2931479,20,Restaurante Maria y su sazon,restaurante
20,-75.572628,6.2895987,21,"Restaurante ""Los Asados y México Lindo Medellín""",restaurante
21,-75.5716328,6.2911077,22,Bianchas,restaurante
22,-75.5715101,6.2896196,23,Al Rojo Vivo,restaurante
23,-75.5814106,6.284143,24,Restaurante La Parrilla de Don Salami,restaurante
24,-75.5844445,6.2806136,25,La Caranga Restaurante,restaurante
25,-75.5624627,6.2901117,26,Restaurante El Punto Del Sabor,restaurante
26,-75.5607311,6.2829314,27,Mi Ranchito Restaurante,restaurante
27,-75.5501106,6.2841305,28,Fer Burguer,restaurante
28,-75.5561741,6.2836883,29,Café Kirón,restaurante
