,x,y,gid,Name,type
0,-75.5541188,6.3360064,1,Lamitextil,empresas
1,-75.5513591,6.3369784,2,Industrias Plásticas HM,empresas
2,-75.565885,6.3142252,3,Electromecanicas Edaga,empresas
3,-75.5408067,6.33067,4,Ascrudos SAS,empresas
4,-75.5506886,6.3258465,5,INCAMETAL,empresas
5,-75.5478846,6.3375259,6,RYCAR,empresas
6,-75.5532575,6.3325392,7,Sytecsa Bello,empresas
7,-75.5391371,6.3391437,8,Pabilopez S.A.S,empresas
8,-75.5532689,6.3371221,9,COPALG,empresas
9,-75.5573318,6.3230162,10,DIMETRON SAS,empresas
10,-75.565488,6.3353056,11,Minimercado Confamita,empresas
11,-75.5648906,6.3190436,12,Minimercado Berrisol,empresas
12,-75.5309408,6.3481514,13,Minimercado Plazuela del Norte,empresas
13,-75.5619019,6.3359778,14,Minimercado El Rosario,empresas
14,-75.5714309,6.3263171,15,Minimercado Todo tienda,empresas
15,-75.5542376,6.3406557,16,Minimercado Doble E,empresas
16,-75.5661835,6.3275137,17,Minimercado Julieh,empresas
17,-75.571467,6.335888,18,Minimercado Merca Bello,empresas
18,-75.567236,6.334138,19,Minimercado Lusanyú,empresas
19,-75.563728,6.316073,20,minimercado Casa Verde,empresas
0,-75.5678631,6.3422908,1,Supermercado La 2000 Bello,supermercado
1,-75.5583852,6.3151048,2,Supermercado la 80 sede Bello,supermercado
2,-75.5563219,6.335627,3,Supermercado Olimpica (Bello),supermercado
3,-75.545247,6.3383211,4,Euro Supermercado Bello,supermercado
4,-75.5573814,6.3333472,5,Surtimax Bello,supermercado
5,-75.5584259,6.3151693,6,Supermercados La 80 Cabañas,supermercado
6,-75.5425941,6.3402618,7,BELLO,supermercado
7,-75.5545294,6.3477822,8,Supermercado La Abundancia,supermercado
8,-75.5678352,6.3420976,9,Autoservicios la 2000,supermercado
9,-75.5589149,6.3388862,10,Mercados y Carnes OR,supermercado
0,-75.5465855,6.3394063,1,Tienda De Modas Niquía,tiendas
1,-75.5595886,6.3367287,2,Bello,tiendas
2,-75.5569767,6.3349553,3,phecos bello,tiendas
3,-75.5506268,6.336879,4,Mattelsa Bello - Tienda de Ropa,tiendas
4,-75.5425941,6.3402618,5,metalius tienda,tiendas
5,-75.5442903,6.3392473,6,Babalú C.C. Puerta del Norte | Grupo Babalú,tiendas
6,-75.5574449,6.3376906,7,Zona outlet,tiendas
7,-75.5581496,6.3300627,8,Envíos a toda Colombia,tiendas
8,-75.5579619,6.3358807,9,RAGGED,tiendas
9,-75.5419684,6.3397653,10,Fruta Fresca,tiendas
